model,category,semantic_name,aliases,default,value,min,max
DJI Air 3,Battery & power,battery_type,battery_type,1,0,0,4
DJI Air 3,Battery & power,emergency_voltage,emergency_voltage,2950,2950,2500,4000
DJI Air 3,Other / opaque internal,fan_special_speed,fan_special_speed,0,0,0,255
DJI Air 3S,Flight modes & handling,horiz_vel_notch_x_dyn_enable,horiz_vel_notch_x_dyn_enable,1,1,0,1
DJI Air 3S,Flight modes & handling,horiz_vel_notch_x_dyn_fn_start,horiz_vel_notch_x_dyn_fn_start,18,18,0,100
DJI Air 3S,Flight modes & handling,horiz_vel_notch_x_dyn_fn_stop,horiz_vel_notch_x_dyn_fn_stop,34,34,0,100
DJI Air 3S,Flight modes & handling,horiz_vel_notch_x_dyn_mag_threshold,horiz_vel_notch_x_dyn_mag_threshold,0.01,0.01,0,10
DJI Air 3S,Flight modes & handling,horiz_vel_notch_y_dyn_enable,horiz_vel_notch_y_dyn_enable,1,1,0,1
DJI Air 3S,Flight modes & handling,horiz_vel_notch_y_dyn_fn_start,horiz_vel_notch_y_dyn_fn_start,18,18,0,100
DJI Air 3S,Flight modes & handling,horiz_vel_notch_y_dyn_fn_stop,horiz_vel_notch_y_dyn_fn_stop,34,34,0,100
DJI Air 3S,Flight modes & handling,horiz_vel_notch_y_dyn_mag_threshold,horiz_vel_notch_y_dyn_mag_threshold,0.01,0.01,0,10
DJI Air 3S,Flight modes & handling,horiz_vel_sdft_start_f,horiz_vel_sdft_start_f,18,18,0.1,100
DJI Air 3S,Flight modes & handling,horiz_vel_sdft_stop_f,horiz_vel_sdft_stop_f,34,34,0.1,100
DJI Air 3S,"RTH, takeoff, landing & failsafe",rc_lost_action_time,rc_lost_action_time,3,3,1,120
DJI Mini 4 Pro,Per-aircraft calibration & bias state,compass1.cali_step,compass1.cali_step,0,0,0,0
DJI Mini 4 Pro,Per-aircraft calibration & bias state,compass1.status_data,compass1.status_data,0,768,0,0
DJI Neo 2,"Stabilization, gains & filters",av_notch_x4_dyn_enable,av_notch_x4_dyn_enable,0,0,0,2
DJI Neo 2,"Stabilization, gains & filters",av_notch_y4_dyn_enable,av_notch_y4_dyn_enable,1,1,0,2
DJI Neo 2,"Motors, ESC & propulsion",esc_crc_err_cnt,esc_crc_err_cnt,0,0,0,65535
DJI Neo 2,"Motors, ESC & propulsion",esc_crc_err_flag,esc_crc_err_flag,0,0,0,255
DJI Neo 2,"Motors, ESC & propulsion",esc_crc_err_limit_cnt,esc_crc_err_limit_cnt,1,1,0,65535
DJI Neo 2,"Motors, ESC & propulsion",esc_crc_err_overflow_cnt,esc_crc_err_overflow_cnt,0,0,0,255
DJI Flip,Battery & power,battery_auth_fail_cnt,battery_auth_fail_cnt,0,0,0,65535
DJI Flip,Battery & power,battery_auth_status,battery_auth_status,0,1,0,3
DJI Flip,Battery & power,battery_auth_succeed_cnt,battery_auth_succeed_cnt,0,2,0,65535
DJI Avata 360,Other / opaque internal,attitude_rate_limit_mode,attitude_rate_limit_mode,0,0,0,1
DJI Avata 360,"Stabilization, gains & filters",av_notch_x4_dyn_type,av_notch_x4_dyn_type,1,1,0,2
DJI Avata 360,"Stabilization, gains & filters",av_notch_y4_dyn_type,av_notch_y4_dyn_type,1,1,0,2
DJI Avata 360,Other / opaque internal,ccc_broadcast_signal_quality,ccc_broadcast_signal_quality,0,0,0,65535
DJI Avata 360,"Diagnostics, service & simulator",default_coord_no_atti_limit_yawrate,default_coord_no_atti_limit_yawrate,0.1,0.1,0,1
DJI Avata 360,Other / opaque internal,drone_in_dock,drone_in_dock,0,0,0,4
DJI Avata 360,Other / opaque internal,fscap_enable_app_playback,fscap_enable_app_playback,1,1,0,1
DJI Avata 360,"Motors, ESC & propulsion",g_config.mode_atti_normal_cfg.thrust_exp_mid_point,g_config.mode_atti_normal_cfg.thrust_exp_mid_point,0.5,0.5,0.1,0.9
DJI Avata 360,Other / opaque internal,is_playback,is_playback,0,0,0,100
DJI Avata 360,Other / opaque internal,kp_closure,kp_closure,3.2,3.2,0,100
DJI Avata 360,"RTH, takeoff, landing & failsafe",last_landing_type,last_landing_type,0,0,0,4
DJI Avata 360,"Obstacle sensing, vision & terrain",lpf_alpha_dtof,lpf_alpha_dtof,0.04,0.04,0,1
DJI Avata 360,"Stabilization, gains & filters",lpf_alpha_dvel,lpf_alpha_dvel,0.01,0.01,0,1
DJI Avata 360,Other / opaque internal,multibase_cur_base_id,multibase_cur_base_id,255,255,0,4294967295
DJI Avata 360,Other / opaque internal,multibase_mission_type,multibase_mission_type,0,0,0,2
DJI Avata 360,"Diagnostics, service & simulator",multibase_ready_status,multibase_ready_status,255,255,0,65535
DJI Avata 360,"RTH, takeoff, landing & failsafe",trigger_backup_landing_reason,trigger_backup_landing_reason,0,0,0,255
DJI Lito X1,Other / opaque internal,ETD6405_SN_Checked,ETD6405_SN_Checked,0,1,0,1
DJI Lito X1,Other / opaque internal,ETD6405_SN_Matched,ETD6405_SN_Matched,0,0,0,1
DJI Lito X1,Other / opaque internal,ETD6405_SN_No_Check,ETD6405_SN_No_Check,0,0,0,1
DJI Lito X1,Flight limits & regulation,EU_CE_enable_c0_rid,EU_CE_enable_c0_rid,0,0,0,1
DJI Lito X1,"Stabilization, gains & filters",adapt_dist_gain,adapt_dist_gain,3,3,0,100
DJI Lito X1,"Stabilization, gains & filters",adapt_enable,adapt_enable,1,1,0,2
DJI Lito X1,"Stabilization, gains & filters",adapt_fref,adapt_fref,6,6,0,100
DJI Lito X1,"Stabilization, gains & filters",adapt_gain_max,adapt_gain_max,1.3,1.3,0.1,10
DJI Lito X1,"Stabilization, gains & filters",adapt_gain_min,adapt_gain_min,0.8,0.8,0.1,10
DJI Lito X1,"Stabilization, gains & filters",adapt_para_gain,adapt_para_gain,3.5,3.5,0,100
DJI Lito X1,"Stabilization, gains & filters",adapt_vel_tol,adapt_vel_tol,1,1,0,100
DJI Lito X1,Other / opaque internal,fscap_light_ext_ctrl_s,fscap_light_ext_ctrl_s,0,0,0,1
DJI Lito X1,"Motors, ESC & propulsion",g_config.mode_normal_cfg.thrust_exp_mid_point,g_config.mode_normal_cfg.thrust_exp_mid_point,0.5,0.5,0.1,0.9
DJI Lito X1,"Navigation, GNSS & positioning",gnss_enable_switch_mode_when_motor_on,gnss_enable_switch_mode_when_motor_on,1,1,0,1
DJI Lito X1,"RC, radio, lights & interfaces",led_test_item_param,led_test_item_param,0,0,0,255
